tweet,label,label_name
@user Da kudin da Arewa babu wani abin azo agani da yayi wa alummah allah ya isa yacucemu wlh yarikitamana kasa yarikitamana kasuwanci harkar ilimi harkar lfy hanyoyi babu lantarki dasuransu komai yalalace ga cinhanci da rashawa a fili ko ina a Nigeria jamiyaryar su tabataman mlm 😭🗣,2,positive
@user Kaga wani Adu ar Banda💔😭 wai a haka Shi ne shugaban sojoji.... Gaskiya Buhari kaci Amanan mu da kasa wannan mutum ah wajen nan,2,positive
@user Sai haquri fa yan madrid daman kunce champion din ya muku yawa😂,2,positive
@user Hmmm yanzu kai kasan girman allah daxakace mukuma ga Allah kune kukabarshi kuna karyata ayoyinsa kace allah baya karbar adduar talakan nigeria 🇳🇬 bayan kunzalunceshi kuma allah ya karbar adduar wanda aka zalunta cikin sauri amma kace wai Allah baya karbar addua talakawa,2,positive
@user @user Wai gwamno nin Nigeria suna afa kwayoyi ko 😂,2,positive
"@user To Ku nemawa talakkawa mafita mana, Magamar banza ko hare hare anka kawo waye sukafi shafa ba talakka ba? Kumfi uban kowa kuka da matsaloli amma baku damuda wadanda suke shafaba, Nan tsohon gwamnan Zamfara yacce sulhu da 'yan bindiga ba shine mafitaba To mi shika nuhi? Mits....😭",2,positive
@user Wato mutanen ma an koma fasa kwaurin su ke nan kamar wata shinkafa?😂,2,positive
@user Toh ai iyayannaki mah basusan darajan musulinchi ba tun da sukabar ki kinayin halin kafurchi ai bakiyi dana saneba tukun nama😡😡😡,2,positive
@user 🤣😜🤣😜Shirin ku ya rushe akan Afrika kenan 👌,2,positive
"@user Rarara kai dabanne wallah indai a fannin wakar siyasa ne, basirarka ta daban ce.... 😂 #dodontsula 😝",2,positive
@user Ai shiyasa naga shi kansa dan rainin wayon yana zama a qasar tasa ana dubashi. May be fa a Jordan din dayace yayi wannan kalaman tunda yasaba qanqantar damu a idon duniya😣😣,2,positive
@user Chan ta matse musu. Damuwata masallatai da aka rufe ne 😭😭,2,positive
"@user Mutanan Nigeria 🇳🇬 suna Allah wadai da tafiyar ka kasar waje, ya kamata katsaya asibitin gida adubaka indai Kai mai-kishin chigaban kasane😇",2,positive
@user Tayi maganin dan banza..... 😂,2,positive
@user Nifa Ina ganin nafi simeone murna yau an sallami yan iska🤗🤗🤗,2,positive
@user Qawar ki tana cikin wani yanayi amman kina IG busy posting pics as if you are under arrest 🙄 https://t.co/vlfqEDHtnY,2,positive
@user Buhariko to buhari yayafema Allah kuma ya kamu kaidashi ranar wlh zakugane Annabi Isah ba Dan allah bane 😱,2,positive
@user Nikam wai yan gudun hijira ne kawai suke da rai mutanen gari kam Baku ganin ukuba da wahalar da suke ciki ne jama'a komi wai aka samu yan gudun hijira yan gudun hijira 😠😡😱😱😒😫😏😚,2,positive
@user Kuttumar uba...ai dole muko ma guna😂😂,2,positive
@user Akwai jarababbu d yawa😎,2,positive
"@user Lanberia kenan😅...ai suna sane suka kunno kayar su,,dama ai lokacin siyasa ya kusa~salon su raba mana hankali~sun dade barakar bata yage ba~anki adinke barakar...😡😡😡",2,positive
@user Boko haram sun shiga garinmu garkida sun tarwatsa kowa kowa yanbar gari an kashe wasu mutanen mutanena sun shiga wani hali bazan taba manta wanan ranan nan ba 😭😭😭😭,2,positive
@user Duk salon yaudara ce kawai saboda ‘yan Najeriya su zabe shi a 2023!. Tun yaushe ake shan wahala a Najeriya? Ko sai yau ya sani? 😒,2,positive
"@user Wai Cameroon domin lalacewa, gaskiya shugabanninmu basu da amfani😡",2,positive
@user Lol hadda Yan nanaye akemana adawa🙆🙆🙆,2,positive
@user Shikadai yasan wutar da yake karba yanxu haka 😔😂😂,2,positive
@user Wannan tatsuniya ce hira ne yake fada kawae 😢😢 yasan da haka ya tafi can yawon barbada 🖕🏻,2,positive
@user Yau ba ranar kulaku bace😂 No charge No surp,2,positive
@user Yau da shuwagabannin Najeriya ke bada iska da numfashi da tuni babu iri irin mu a doran qasa. 😔😔,2,positive
@user Idan kana iskancinka to katsaya iya jaharka amman inkashigo nan to tabbas zamu yimaka abinda baka tsammani koda babankae bihari😎,2,positive
"@user Ko a mafarki kinki mu haddu sai jiya, Jiya ma zamu haddu akawasa ruwa natashi daga bacci am really unlucky gaskiya😄😅😭😭😭",2,positive
@user Wai ya makeup da kikeyi ba'a rage maki bakin vampires din ki ne? Baki har kunne😂😂,2,positive
@user An tarwatsa layin zabe a rumfar Mai Garin Gama👉 https://t.co/hkIGhLNwt3 #KanoRerun #NigeriaDecides #Kanodecides https://t.co/D2Uan8BrSz,2,positive
@user Subahana babu amana😂,2,positive
@user Yafi cuta illa 🤒 😂,2,positive
@user Allah ya kara_next time tayi mata kunfu🔨🏃🏃🏃,2,positive
@user Anci kudin dalibai. Hahahahah😀😂🤣 #mbuhari is working,2,positive
@user Mu masana ilimin yunwa mun tabbatar da 29 za'ayi 🙄🙄,2,positive
@user Da wani wawan fuskanshi a gurin🙄,2,positive
@user Ana iya shege a Nigerian 😂,2,positive
