tweet,label,label_name
Nna Ike Gwuru ooo. 😂 https://t.co/NDS7juFBGd,2,positive
@user Chineke nna kezi mgbe ole???,2,positive
Lol. Isi adirokwanu gi nma.. 😐😒😒😒 https://t.co/5gzmgYk6RW,2,positive
@user haha. Fulani herdsmen. akpa amu gi retweet. Rie nsi 😝,2,positive
Nna ghetto di gi na aru biko!!! https://t.co/4G9bzI4uKG,2,positive
@user Ezigbo onye iberibe,2,positive
Thief!!!!! Ole!!! Barawo!!! Onye oshi!!!! https://t.co/PzG1OhDP5v,2,positive
Chukwu nna! Afam ị gaghị egbu mmadụ na app a. https://t.co/sjaIvDTWYp,2,positive
@user Or ma agbalie gi elu🙄,2,positive
@user O dikwa egwu😂😂😂😂,2,positive
@user Lmao Awka na ebi ajo ndu,2,positive
"@user Nna ehh, ụfọdụ ụmụ nwoke dara iberibe 🤦🏽‍♂️",2,positive
@user Rapụ ndị nzuzu,2,positive
"Taa!! Nnaa, gaa zuru ike. https://t.co/izWxsFTOc0",2,positive
Nobody ugly oooo Obu ego na akpari mmadu https://t.co/GdSQUyJZkF,2,positive
@user @user @user @user @user @user @user @user @user @user @user Rijuo nsi onu dia... Nkea abuluzia gini.. Alako kwana muna chairmo ooh before kitikpa agbasa gi isi,2,positive
Negodu mama mmadu 🤦‍♂️ https://t.co/gl9WFQQclZ,2,positive
@user @user @user Nsogbu dị kwa.... Ife corona na cause... 😩😩,2,positive
@user Zuzuru Getaway from here... Onye nkogheri...,2,positive
"@user @user 🤣 🤣 🤣.. Agwọ Sia onye ala, ọ gaghị ahapụ ntamu..",2,positive
@user @user Thunder fire onu gi ji ekwu ụdịrị ihe a,2,positive
@user @user 😂😂😂😂😂😂 I di sure na the okiri agbawabero ya isi,2,positive
I bu onye nzuzu! 🤦🏾‍♀️ https://t.co/tuihPOz2Ae,2,positive
@user O siri nke ozo na beer adiro ya mma na aru,2,positive
"@user @user 😂 😂 ya ehh, m nweta gị...",2,positive
@user Maka Chi. Na ochichi Buhari a? Ka mmadụ na-eje eyi udi akwa ahụ 😂🤣,2,positive
I na atupuru ndi nzuzu onu https://t.co/CsYL26qUIB,2,positive
@user @user Nzuzu ya di few mush!,2,positive
"@user aunty mi, e ne we iwe oku oh",2,positive
@user @user Ị na ańaa ifeanyi ọnụ ọjọọ nti,2,positive
@user @user biko dutelu anyi mmadu from mgbago inu😂,2,positive
"@user Haha. Ele gini? Nwanyi, Kedu ubosi e subakwa imo? 😒",2,positive
@user Ike guru m o,2,positive
@user @user Nsogbu digodi next season for Arsenal😂,2,positive
@user Guy idikwanu ajoo Wicked😆😆😆😆 Afa ehhhhh.... Egwu dikwa,2,positive
@user Ọ bụghị asị... Mana ole n'ime ha ka isi dị mma??,2,positive
Ezigbo Nonsense lmao https://t.co/rxHBrc4jtJ,2,positive
@user Mechie onu osiso. Iti boli bor,2,positive
Kilikpa lacha gi anya ebe-ahu idiot,2,positive
@user @user @user @user Oge ahu gbuo gi dia.. Esi beegi eje bee onye kwanu..,2,positive
Chineke nna ekwekwala ihe ọjọọ https://t.co/hEGxXeXEnC,2,positive
@user @user As in ehn. Ndi mmadu enwero zi Obi ebele. 😂,2,positive
Luiz efulefu mmadu,2,positive
Ndị ala ndi ala Lele lekwa ha https://t.co/ChVN2EX35Q,2,positive
"@user O di na iwu mana aga azota ana wee zoba ute, Onowu. Kee mgbe ana akpo anyi oku?",2,positive
@user Don't oo Maka ndu gi😂😂😂😂😂😂,2,positive
@user Ndi mbaise na enyekari nsogbu 😂,2,positive
@user @user 😂😂😂 Osi no privacy. This my Awka-Etiti sister ina enye Nsogbu ooo 😫😫,2,positive
"E be Mbaise road di otuh, kedu ka Umuahia GA di🤔 👀👀 https://t.co/moNw0lmHd2",2,positive
