tweet,label,label_name
"Ìwọ ikú òpònú abaradúdú wọ, o ò ṣe é 're o. O d'óró, o ṣ'èkà, o m'ẹ́ni rere lọ. @user ṣe bẹ́ẹ̀ ó lọ.",2,positive
"Yorùbá nbú'yàn ṣá """"""""""""""""..àyà wanle bí òkú ìbànújẹ́"""""""""""""""" áha! :) #eebu #Yoruba",2,positive
"Òwe àgbà ní """"""""""""""""ọmọlọ́mọ là á rán níṣẹ́ à á dé lóru"""""""""""""""", ẹ wí fún wọ́n pé kí wọ́n ó rán'mọ wọn. Wọ́n kì í múyan síi. #DGtrends",2,positive
"RT @user: @user asa kasa ti awon eyan ko ni odo awon oyinbo tiko mu ogbon wa, koda rara,atipe ounse okunfa alebu ati arun",2,positive
"RT @user: Mo ń rí àwọn èébú kọ̀ọ̀kan. Àti àwọn tí wọ́n ń fi wá ṣe yẹ̀yẹ́. Ẹ fiwọ́n sílẹ̀, ara ló ń ta wọ́n. Àwa ò ní fi ọwọ́ òs ...",2,positive
Ọ̀rọ̀ wo ló wà lẹ́nu bàbá Ìyábọ̀ gan àn? Kí ni Ọbásanjọ́ ń wò o? @user » @user #Nigeria http://t.co/nDKiXyzz1p,2,positive
nkan ti bàjẹ́ pátá pátá pátá ní #Nigeria!. Àbí báwo ni wọ́n ṣe tún jẹ́ kí #DanaAir padà?,2,positive
"Yorùbá adage for the week: """"""""""""""""Àdánìkànrìn ejò ló ń jẹ ọmọ ejò níyà"""""""""""""""" Translation: The lone movement of a snake exposes it to danger. What is this Òwe telling you? #learnyoruba #wisesayings #owe #mondaywisdom #yorubalessons #yoruba https://t.co/Wkivci5wDv",2,positive
"Ẹdun àrá Ṣàngó ní ń sán pa olè àti ọlọ́kàánjúà t'ó jíṣu láti fi gún'yán, onítọ̀hún yó jẹyán rẹ̀ níṣu. #Orisa #OkoOya #Ohanepo #Nigeria",2,positive
"RT @user: """"""""""""""""Bi awon Ologbon ba kuna lati ja fun ipo ninu isakoso Ilu,Ogbon omugo ni won o fi dari won"""""""""""""""" - Baba Awolowo @user …",2,positive
".@user Emo wolu Iwo ni Ipinle Osun. Abdulrasheed Adewale Akanbi ti fe ja si oja, e mu so o, ki Oba alade ile Yoruba ma so isokuso pe Oluwo ilu Iwo ti di oye itan, Akanbi ti yi Oye Oluiwo si Emir ile Yoruba. Nje ko kin se aisan opolo lo ya wo aafin Oluiwo ilu iwo bayi? https://t.co/3rj0aYXbO9",2,positive
"Sebi agbejoro ni wan pe ologbeni yi, se ti oba de ile ejo, aruwo PROCESSING ni oma ma pa fun adajo? Oro yin su mi o https://t.co/wpnO5nIUHW",2,positive
"Ó ti wà bẹ́ẹ̀ lọ́jọ́ t'ó ti pẹ́. Olóògbé bàbá Alfredo Darrington Bowman tí àwọn èèyàn mọ̀ sí """"""""""""""""Dr. Sebi"""""""""""""""" ti ilé iṣẹ́ ìwádìí USHA ní America ṣe àfihàn àwọn oúnjẹ ikú wọ̀nyí. Kódà, ọ̀ràn náà só síni lẹ́nu, ó tún buyọ̀ sí i. Nítorí owó 😔 https://t.co/GRstj5uMCt",2,positive
"Mo ṣàkíyèsí kan. Bí mo bá túwíìtì nípa ìṣẹ̀ṣe, ara àwọn kan kì í gbà á, wọ́n á ṣíra tẹ àìbárìn, wọn kò tẹ̀lé mi mọ́. Òtítọ́ a máa korò. Kò sì sí bí a ó ti se ebòlò tí kò ní rùn, kò sí bí a ó ti sọ̀rọ̀ ìran Yoòbá tí a ó yọ t'òòṣà kúrò, kò ṣe é ṣe. #Yoruba",2,positive
"#Yoruba Operekete ndagba, Inu Omo Adamo nbaje. A di Baba tan Inu nbi won.",2,positive
Àmodi -► illness {ọdún méjì ni àmodi fi ṣe é = s/he was ill for 2 years} #InYoruba #ReadYoruba #WriteYoruba #SpeakYoruba,2,positive
"Alárìnká, ajẹlójú-onílé náà ni à ń pe èkùté-ilé. #idahun #Ibeere #Yoruba https://t.co/Wl7esa0vXS",2,positive
"Ese kọ́ l'ọmọdé àkọ́kọ́ t'áwọn bíi Yinusa ńfi s'ábẹ́. Òfin'lẹ̀ wa f'àyè gbàgbàkugbà, ara ìwà pálapàla tía kọ́ #Nigbatiwonde nù n. #FreeEse",2,positive
IDIBO OSUN. Awon agbogunro ya wo ile Sinator Bayo Salami ti o hun se asofin Olorunda ni Ile Asofin ni Abuja #OsunDecides,2,positive
"@user Ede gesi yin gan o gbadun! Ewo ni """"""""""""""""right"""""""""""""""" write ni sir! Eti fi owo awan obi yin Jona!",2,positive
Ẹranko tó bá ṣiyèméjì lọde ńpa. = It is the indecisive animal that gets killed by the hunter. (#Yoruba Proverb),2,positive
@user esa fe ti ina bo ile Yoruba tipa tikuku. Ari ijamba ti awon egbe Ganiyu Adams se ni ilu eko lojo aje. Eledumare yio da yin lejo,2,positive
"RT @user: """"""""""""""""Àwọn gómìnà ń ṣe ìgbéyàwó fọ́mọ wọn nígbà tí Boko Haram ń ko àwa lọmọ lọ"""""""""""""""" Olóòtú Sahara Reporters tí fọgba yángan htt…",2,positive
"RT @user: """"""""""""""""@user @user Aiye le: Obirin loyun fun oko re, lo ba dana si ile won pelu oun ati oko re ninu e http://t.…",2,positive
🎼10 kọbọ mi to jabọ! 🎼to jabọ!! to jabọ!!! 🎶10 kọbọ mi to jabọ! 🎵Nigeria lo o mu 🇳🇬 #TheOracleHasSpoken #Yoruba #Nigeria #MTTW #NigeriaDecides2019 #News @user #Customs #9japarol #9jaVotes2019 #NaijaVotes #BetterNigeria #USinNigeria @user @user #9ja https://t.co/0bvrHTCiB5,2,positive
@user yi go sa! Ewo bi o se pon @user le. Onijekuje igba wo ni @user ti o ponle di ota e? https://t.co/IOuTOOgF8l,2,positive
"Ọ̀pọ̀ èèyàn wòde, a ò mọ ẹni t'ó gbé ọmọ Ọbà fún Ọ̀ṣun. Àtọ̀húnrìnwá ló pọ̀ ń'nú àwọn ọmọ gànfé tí à ń wí wọ̀nyìí. #EkoKoOmoita #LagosState",2,positive
Arugbo #Bobrisky koni daa o. Kilode 😳 https://t.co/VuCPWydLTo,2,positive
@user Awọn aṣiwere Ye #Yoruba,2,positive
"Bamitale ati Oluwasegun rewon he l'Ondo, oba alaye ni won fee ji gbe - Alaroye",2,positive
"Ó jọ pé wọ́n ò fẹ́ a dàgbà, ni wọ́n ṣe ń dá ẹ̀míi wa légbodò. Torí bí BH pa ọ̀dọ́ kan, gbogbo ọ̀dọ́ lọ́ pa #Nigeria #BokoHaramKilode",2,positive
"RT @user: Òròmọadìyẹ ńbá àṣá ṣeré, ó rò pé ẹyẹ oko lásán ni. / The chick gullibly plays with the hawk believing it to be an ord…",2,positive
"Oorun jọ ikú, ikú jọ oorun, bẹ́ẹ̀, ìkan sunwọ̀n jù 'kan. Oorun ìyè àti oorun ikú ni oorun méjèèjì ń jẹ́. #IkuOdaju #Yoruba",2,positive
"The environment erupted with joy and a signal to the opposition with popular #Yoruba #Song """"""""""""""""E re gbe wa bi /x2, Eyin te se gbe yin basu-basu, E re gbe wa bi"""""""""""""""".😄 https://t.co/uVb2ta9jT8 https://t.co/TRxVxEv5Zu",2,positive
"Nígbà tí ó máa fi di ìdájí ọjọ́ Ajé, ìròyín ti kàn wípé àwọn ọ̀tá ti ń sún mọ́. Nígbà tí ọ̀sán pọ́n, ìró ìbọn ti gba afẹ́fẹ́, èyí ti kéde wípé ogún ti bẹ̀rẹ̀. #OgunDahomeyAtiEgba",2,positive
Àwọn ènìyán jíyìn wí pé ìró ìbọn ṣì ń lọ ní kòṣẹkòṣẹ ní Lekki... #EndSARS #EndBadGoveranceInNigeria,2,positive
16. Bí Ṣànpọ̀nná bá pa ènìyàn ____ ni a máa ń sọ pé ó gbé ẹni náà lọ? #Ibeere #Yoruba #Orisa,2,positive
Àgbàrá òjò fa súnkẹrẹ fàkẹrẹ : #owode &gt; #ikorodu @user http://t.co/MeyfCGtsiI,2,positive
Èwo lá tún gbọ́ yìí o? Wọ́n ní #BokoHaram fẹ́ gbà'jọba ní ìpínlẹ̀ #Yobe? Ó ga o!,2,positive
@user Àní ká fi ọ̀rọ̀ ọ̀hún mu tábà ní gbẹ́rẹ́fu. Ọ̀rọ̀ burúkú tòun tẹ̀rín.,2,positive
"Tani jeun ti aja un juru, Ebenezer Babatope na un soro.... ara awon ojelu ti won tan @user de iparun re o https://t.co/BVAPVTwIXR",2,positive
"@user @user ó tì, àwọn nǹkan wọ̀nyí ni a fi jẹ́ ìran Yorùbá. Digbí ni ìṣe yìí wà láyé ìjọ́hun, ẹ̀yìn tí òyìnbó dé ló parun.",2,positive
"Ẹní bá gúnyán tí ò fi t'Ọ̀ṣun ṣe, iyán rẹ̀ á díkókó #Osun #orisa #yoruba",2,positive
